0085505013;20170406;AF05;DC63;SP
0008479965;20170427;0000407006;DC03;
0095543000;20170428;0000409662;DC35;FA
0085510018;20170502;SK28;D863;SP
0180510048;20170505;;;
0085511025;20170508;LC17;DCFA;FA
0085516101;20171116;DC63;DC63;
0085511057;20170516;MG01;DC78;MG
0095547038;20171129;0000560156;DC78;MG
0085518012;20180215;CN01;DC31;CN
0085518016;20180220;CN01;DC31;CN
0095548004;20180227;0000407943;DC27;P2
0085518022;20180227;CN01;DC31;CN
0095548007;20180228;0000400875;DC63;SP
0180510050;20170508;;;
0085511060;20170519;MG01;DC78;MG
0095550009;20180815;0000409711;DC27;P2
0096305001;20180815;0000409711;DC27;P2
0075649001;20180903;SSD7;D863;SP
0085518206;20180606;CN01;DC31;CN
0085518194;20180525;E829;D777;
0085518207;20180606;CN02;DC31;CN
0085519011;20180621;CN05;DC31;CN
0085519012;20180621;CN04;DC31;CN
0085519013;20180621;CN15;DC31;CN
0085519014;20180621;CN19;DC31;CN
0085519015;20180621;CN07;DC31;CN
0085519016;20180621;CN11;DC31;CN
0085519017;20180621;CN18;DC31;CN
0095540000;20170418;0000400875;DC63;SP
0085516113;20171129;DC88;DC78;
0095547040;20171205;0000560156;DC78;MG
0085516137;20171220;PU04;DC63;SP
0095547041;20171229;0000551165;DC33;P8
0095547042;20171229;0000551165;DC33;
0095547043;20171229;0000511400;DC15;
0095547047;20180102;0000511400;DC15;
0095547048;20180103;0000408213;DC33;P8
0096302002;20180103;0000408213;DC33;P8
0095548010;20180302;0000400875;DC63;SP
0095548012;20180303;0000409699;DC81;SB
0095548015;20180305;0000520676;MN06;FA
0096304001;20180321;0000407943;DC27;P2
0095548023;20180321;0000407943;DC27;P2
0095548024;20180321;0000407943;DC27;P2
0095548026;20180322;0000520676;MN06;FA
0085518028;20180322;DC78;MG01;
0085518030;20180323;DC78;DC78;
0095540012;20170420;0000409662;DCFA;FA
0085524211;20180910;HO31;CN01;CN
0085524311;20180910;HO31;CN01;CN
0085524112;20180912;HO31;CN01;CN
0085524113;20180912;HO31;CN01;CN
0085524411;20180912;HO31;CN01;CN
0085524512;20180913;LN02;DCGI;GI
0085524611;20180913;LN01;DCGI;GI
0180517046;20180913;;;
0085519018;20180621;CN22;DC31;CN
0085520026;20180626;CN29;DC31;CN
0085520027;20180626;CN21;DC31;CN
0085520028;20180626;CN22;DC31;CN
0085520029;20180626;CN24;DC31;CN
0085520030;20180626;CN31;DC31;CN
0085520031;20180626;CN32;DC31;CN
0085520032;20180626;CN20;DC31;CN
0085520033;20180626;CN05;DC31;CN
0085520034;20180626;CN06;DC31;CN
0085510023;20170503;SK28;D863;SP
0085511023;20170508;LC17;DCFA;FA
0095547001;20171013;0000450759;DCV0;VZ
0095547019;20171107;0000409672;DC34;ZH
0095547026;20171108;0000409672;DC34;ZH
0180513047;20171031;;;
0180513056;20171120;;;
0085518032;20180326;CP01;DC23;GI
0095548029;20180405;0000409699;DC81;SB
0095548030;20180405;0000409699;DC81;SB
0180515065;20180409;;;
0095548034;20180410;0000407943;DC27;P2
0085518049;20180412;MG01;DC78;MG
0085518050;20180412;MG01;DC78;MG
0085518051;20180412;MG01;DC78;MG
0095548040;20180413;0000407476;DC27;P2
0085516023;20171004;PS02;DC63;SP
0085516024;20171004;PS02;DC63;SP
0085516025;20171004;PS03;DC63;SP
0008802000;20171107;0000408410;DC05;MT
0085516040;20171018;PS02;DC63;SP
0085516041;20171018;PS49;DC63;SP
0095547014;20171107;0000409672;DC34;ZH
0095547025;20171108;0000409672;DC34;ZH
0095547033;20171117;0000400109;DC32;RA
0095547034;20171120;0000400109;DC32;RA
0085520035;20180626;CN12;DC31;CN
0085520036;20180626;CN16;DC31;CN
0085520037;20180626;CN17;DC31;CN
0085521020;20180628;CN19;DC31;CN
0085521018;20180628;CN15;DC31;CN
0085521019;20180628;CN18;DC31;CN
0085521021;20180628;CN06;DC31;CN
0085521022;20180628;CN28;DC31;CN
0085521023;20180628;CN30;DC31;CN
0085521024;20180628;CN21;DC31;CN
0085506012;20170410;AF05;AF01;SP
0085512018;20170808;PC04;DC65;CH
0180513057;20171121;;;
0180513079;20171205;;;
0180513065;20171129;;;
0085516117;20171130;JU01;DC15;LS
0085516134;20171205;JU01;DC15;LS
0085516139;20171228;P801;DC33;P8
0085518056;20180416;MN22;MN23;FA
0085518060;20180416;MN22;MN22;FA
0095548043;20180416;0000520676;MN06;FA
0095548045;20180419;0000520676;DC35;FA
0095548046;20180419;0000520676;DC35;FA
0096304002;20180419;0000407476;DC27;P2
0095548068;20180427;0000520676;DC35;FA
0095548054;20180419;0000520676;DC35;FA
0095548066;20180427;0000520676;DC35;FA
0095548059;20180424;0000520676;DC35;FA
0095540013;20170421;0000409662;DCFA;FA
0095543003;20170502;0000408949;DC67;SP
0085511026;20170508;S701;DC08;SI
0180513060;20171123;;;
0085511047;20170510;S701;DC18;SI
0085516110;20171127;JU01;DC15;LS
0180513069;20171130;;;
0075645007;20180109;SS26;DC63;SP
0095549000;20180629;0000502992;D178;SP
0180516049;20180629;;;
0075647003;20180706;SSH9;DC63;SP
0085521040;20180706;SSH9;DC63;SP
0180517452;20191126;;;
0085521048;20180710;PS64;DC63;SP
0095552013;20191125;0000409743;DCM8;MZ
0095546006;20170905;0000408289;DC18;SI
0085516014;20170926;E101;DC63;SP
0095547037;20171128;0000409672;DC34;ZH
0085516114;20171129;JU01;DC15;LS
0085516147;20180103;DC33;P801;
0095547049;20180103;0000551165;DC33;P8
0095548060;20180424;0000520676;DC35;FA
0095548061;20180424;0000520676;DC35;FA
0095548064;20180424;0000520676;DC35;FA
0085518073;20180424;DC35;MN06;
0085518074;20180424;DC35;MN06;
0095548075;20180427;0000520676;DC35;FA
0095548076;20180427;0000520676;DC35;FA
0085518078;20180508;CN04;DC31;CN
0085518079;20180508;CN05;DC31;CN
0085518080;20180508;CN03;DC31;CN
0085511061;20170519;MG01;DC78;MG
0085511036;20170509;S502;DC38;SI
0085511059;20170519;MG01;DC78;MG
0085518033;20180326;AF02;DC88;SP
0180515058;20180404;;;
0180515068;20180518;;;
0085518155;20180522;CN05;DC31;CN
0085518156;20180522;CN05;DC31;CN
0085518167;20180522;CN01;DC31;CN
0085521052;20180711;CN18;DC31;CN
0085521053;20180711;CN29;DC31;CN
0085521054;20180711;CN15;DC31;CN
0085521055;20180711;CN16;DC31;CN
0085521056;20180711;CN27;DC31;CN
0085521057;20180711;CN28;DC31;CN
0085521058;20180711;CN30;DC31;CN
0085521059;20180711;CN19;DC31;CN
0095539000;20170410;0000400875;DC63;SP
0180510051;20170508;;;
0085511028;20170509;NW41;DCFA;FA
0085511038;20170509;S502;DC38;SI
0085512014;20170803;E802;D723;
0085513011;20170823;PS02;DC63;SP
0085513012;20170823;PS02;DC63;SP
0085513013;20170823;PS02;DC63;SP
0085518103;20180514;HO33;DC33;
